A_id,B_id
5490,2444
5490,2670
5490,3087
5490,3089
5490,3754
5490,4198
5490,4236
5494,4981
5552,1314
5558,2126
5558,2449
5558,3024
5558,3570
5559,1667
5561,5607
5637,1642
5637,2449
5637,3024
5637,3570
5637,4116
5646,1642
5646,2192
5646,2449
5646,2977
5646,3024
5646,3570
5652,1642
5652,2126
5652,2192
5652,2449
5652,2977
5652,3024
5652,3570
5655,2924
5676,2007
5684,5820
5726,1132
5851,3367
5880,1286
5901,1591
5921,1828
